Type,Machine_id,All Delays Levels,Comment,Hours
DTe,DT0150,/Equipment/Breakdown Electrical,HYD OIL TEMP HIGH AND OVERHEATING @ 12W MW,53.90
DTe,DT0150,/Equipment/Breakdown Electrical,NO POWER@13 TUNNEL 21W MW.,19.45
DTe,DT0149,/Equipment/Breakdown Electrical,Emergency stop @ battery bay,15.33
DTe,DT0150,/Equipment/Breakdown Mechanical,oil temperature high @ battery bay,14.78
DTe,DT0163,/Equipment/Operational Delays/Battery,BATTERY CHANGE.,12.98
DTe,DT0147,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY.,12.47
DTe,DT0146,/Equipment/Operational Delays/Battery/Flat Battery,Battery charging,11.13
DTe,DT0162,/Equipment/Operational Delays/Battery/Flat Battery,Battery charging,9.05
DTe,DT0147,/Equipment/Breakdown Mechanical,Hyd temp to high@Batt Bay,5.05
DTe,DT0150,/Equipment/Breakdown Mechanical,Overheating@Batt Bay,4.90
DTe,DT0147,/Equipment/Breakdown Mechanical,Hyd Overheat@Batt Bay,4.72
DTe,DT0163,/Equipment/Operational Delays,'@ battery bay - battery change,4.40
DTe,DT0163,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY.,3.83
DTe,DT0149,/Equipment/Operational Delays/Battery/Flat Battery,"",3.30
DTe,DT0146,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,3.25
DTe,DT0162,/Equipment/Operational Delays/Battery/Flat Battery,CHARGE BATTERY.,3.02
DTe,DT0162,/Equipment/Operational Delays/Battery/Flat Battery,CHARGING BATTERY,2.95
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,Battery not connectinng@Batt bay,2.78
DTe,DT0146,/Equipment/Operational Delays/Battery/Flat Battery,Charging,2.67
DTe,DT0149,/Equipment/Operational Delays/Battery/Flat Battery,Charging@Batt Bay,2.58
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Comms lost@batt bay,2.17
DTe,DT0163,/Equipment/Operational Delays/Battery/Flat Battery,CHARGE BATTERY.,2.10
DTe,DT0147,/Equipment/Operational Delays/No Operator,No Operator,1.85
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Comms Lost@SAT Tip 2,1.78
DTe,DT0171,/Equipment/Operational Delays/Battery,BATTERY CHANGE.,1.72
DTe,DT0149,/Equipment/Breakdown Electrical,INVERTOR ERROR@4S DANGER CROSSING.,1.68
DTe,DT0162,/Equipment/Operational Delays/No Operator,Attending meeting,1.47
DTe,DT0147,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Comms Lost@43n12w NW,1.25
DTe,DT0149,/Equipment/Operational Delays/Battery/Flat Battery,CHARGE BATTERY.,1.00
DTe,DT0163,/Equipment/Operational Delays/Battery/Flat Battery,Charging,1.00
DTe,DT0163,/Equipment/Breakdown Mechanical/Chassis /Seat,Seat @ battery bay,0.97
DTe,DT0162,/Equipment/Operational Delays/Battery,BATTERY CHANGE.,0.93
DTe,DT0171,/Equipment/Operational Delays/Battery/Flat Battery,CHARGE BATTERY.,0.73
DTe,DT0149,/Equipment/Operational Delays/No Face Available/Waiting For Mining Activity,Sat Tip 1 broken Truck standby,0.47
DTe,DT0147,/Equipment/Breakdown Mechanical,Overheating@Batt Bay,0.45
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,Batt Therminal Syst@MW 43N,0.42
DTe,DT0162,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,0.30
DTe,DT0149,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,0.27
DTe,DT0163,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,0.27
DTe,DT0171,/Equipment/Operational Delays/Battery,CHANGE BATTERY.,0.27
DTe,DT0149,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Wipers,WIPERS FAULTY @BATTRY BAY.,0.23
DTe,DT0149,/Equipment/Operational Delays/Battery,BATTERY CHANGE.,0.23
DTe,DT0162,/Equipment/Breakdown Mechanical,Tagbox@Batt Bay,0.22
DTe,DT0171,/Equipment/Breakdown Mechanical,Red stop lamp @ battery bay,0.15
