Fleet Type,Availability_Both,Date
DT,80.59%,2025-09-29 00:00:00
DT,72.75%,2025-09-30 00:00:00
DT,77.81%,2025-10-01 00:00:00
DT,82.14%,2025-10-02 00:00:00
DT,77.05%,2025-10-03 00:00:00
DT,93.65%,2025-10-04 00:00:00
FL,99.18%,2025-09-29 00:00:00
FL,89.86%,2025-09-30 00:00:00
FL,90.99%,2025-10-01 00:00:00
FL,99.51%,2025-10-02 00:00:00
FL,97.41%,2025-10-03 00:00:00
FL,100.00%,2025-10-04 00:00:00
HD,93.31%,2025-09-29 00:00:00
HD,94.92%,2025-09-30 00:00:00
HD,98.22%,2025-10-01 00:00:00
HD,94.08%,2025-10-02 00:00:00
HD,67.83%,2025-10-03 00:00:00
HD,71.29%,2025-10-04 00:00:00
RT,49.81%,2025-09-29 00:00:00
RT,71.66%,2025-09-30 00:00:00
RT,100.00%,2025-10-01 00:00:00
RT,97.67%,2025-10-02 00:00:00
RT,93.25%,2025-10-03 00:00:00
RT,95.03%,2025-10-04 00:00:00
SR,90.15%,2025-09-29 00:00:00
SR,67.92%,2025-09-30 00:00:00
SR,92.61%,2025-10-01 00:00:00
SR,97.85%,2025-10-02 00:00:00
SR,97.88%,2025-10-03 00:00:00
SR,92.78%,2025-10-04 00:00:00
