Type,Machine_id,All Delays Levels,Comment,Hours
DTe,DT0147,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v,No contact to strata module (battery bay) Epiroc problem according to info,90.63
DTe,DT0150,/Equipment/Breakdown Mechanical,suspension @ battery bay,9.48
DTe,DT0163,/Equipment/Breakdown Tyre Bay,puncture-front left tyre @ battery bay,9.40
DTe,DT0147,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,STRATA FAULTY @BATTERY BAY.,6.02
DTe,DT0163,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Strata Breakdown,Strata BD@Batt Bay,4.70
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Comms Lost@Batt Bay,4.43
DTe,DT0163,/Equipment/Breakdown Electrical/Auto Electrical System - 24v/Strata Breakdown,MW 13 TUNNEL 20E 96N - STRATA BREAKDOWN B2 ERROR,4.08
DTe,DT0162,/Equipment/Breakdown Mechanical/Hydraulic System,HYDRAULIC TEMP HIGH@DANGER CROSSING.,3.92
DTe,DT0163,/Equipment/Breakdown Mechanical/Chassis /Seat,'@Batt Bay,3.23
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,B1 COMMS ERROR@38W/79W DEVELOPMENT,2.40
DTe,DT0162,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,Comms Lost@WS,2.32
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,stata system faulty @battery bay,1.75
DTe,DT0149,/Equipment/Breakdown Electrical/Auto Electrical System - 800v,battery not connecting.@battery bay,1.58
DTe,DT0146,/Equipment/Breakdown Mechanical,Air Con@Batt Bay,1.35
DTe,DT0171,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,REPLACE STRATA SCREEN@BATTERY BAY.,1.27
DTe,DT0171,/Equipment/Breakdown Electrical,BMS G801 WARNING@BATTERY BAY,0.78
DTe,DT0149,/Equipment/Breakdown Auto Electrical/Auto Electrical System - 24v/STRATA Breakdown,strata system faulty @ Nw 21n,0.57
