Fleet,Planned,Actual,Compliance,Target,Compliance %,Reasons for Non-Compliance
FL0091 - Were serviced because it was on breakdown when it was due for service ,1,2,2,0.95,2.0%,DT(Diesel)
DT0171 - On Breakdown With a E-Frame Pin,2,2,1,0.95,100.0%,
FL BEV,1,1,1,0.95,100.0%,
DT BEV,2,1,0.5,0.95,50.0%,HD0057 Arrived 10H30
HD,5,5,1,0.95,100.0%,SR0026 - Not in for service
RT,5,5,1,0.95,100.0%,
SR,5,4,0.8,0.95,80.0%,Support Equip. Diesel Foreman
UV Emulsion Units,0,0,,0.95,,
Support Equip Utility Foreman,0,0,,0.95,,
Daily service compliance/quality report,2,2,1,0.95,100.0%,
