Fleet Type,Availability_Both,Date
DT,85.01%,2025-09-29 00:00:00
DT,91.65%,2025-09-30 00:00:00
DT,85.73%,2025-10-01 00:00:00
DT,81.46%,2025-10-02 00:00:00
DT,82.41%,2025-10-03 00:00:00
DT,87.08%,2025-10-04 00:00:00
FL,86.79%,2025-09-29 00:00:00
FL,89.34%,2025-09-30 00:00:00
FL,81.97%,2025-10-01 00:00:00
FL,65.85%,2025-10-02 00:00:00
FL,76.73%,2025-10-03 00:00:00
FL,62.86%,2025-10-04 00:00:00
HD,87.14%,2025-09-29 00:00:00
HD,93.20%,2025-09-30 00:00:00
HD,86.57%,2025-10-01 00:00:00
HD,92.76%,2025-10-02 00:00:00
HD,91.74%,2025-10-03 00:00:00
HD,96.03%,2025-10-04 00:00:00
RT,95.27%,2025-09-29 00:00:00
RT,94.96%,2025-09-30 00:00:00
RT,91.97%,2025-10-01 00:00:00
RT,92.45%,2025-10-02 00:00:00
RT,95.59%,2025-10-03 00:00:00
RT,99.35%,2025-10-04 00:00:00
SR,93.05%,2025-09-29 00:00:00
SR,89.25%,2025-09-30 00:00:00
SR,89.86%,2025-10-01 00:00:00
SR,95.61%,2025-10-02 00:00:00
SR,93.99%,2025-10-03 00:00:00
SR,100.00%,2025-10-04 00:00:00
