Fleet / Equipment,Planned,Actual,Schedule Compliance,Target,Comment
FL,1,1,100%,95%,
DT,1,1,100%,95%,
FL BEV,0,0,,95%,
DT BEV,2,2,100%,95%,
HD,5,4,80%,95%,"HD0050-did not service, due to match machine standing big brake downs, HD0062- radiator and turbo, -HD0056- overheating- tapped cover"
RT,5,5,100%,95%,
SR,5,4,80%,95%,SR0026 - Not in for service 
UV Emulsion Units,0,0,,95%,
Support Equip. Diesel Foreman,0,0,,95%,
Support Equip Utility Foreman,6,5,83%,95%,LD0614 was not brought in for service 
,,,,,
