Fleet Type,Availability_Both,Date
DT,95.42%,2025-09-01 00:00:00
DT,97.88%,2025-09-02 00:00:00
DT,99.12%,2025-09-03 00:00:00
DT,96.51%,2025-09-04 00:00:00
DT,98.17%,2025-09-05 00:00:00
DT,100.00%,2025-09-06 00:00:00
FL,99.53%,2025-09-01 00:00:00
FL,99.24%,2025-09-02 00:00:00
FL,95.51%,2025-09-03 00:00:00
FL,99.46%,2025-09-04 00:00:00
FL,97.43%,2025-09-05 00:00:00
FL,97.43%,2025-09-06 00:00:00
HD,95.64%,2025-09-01 00:00:00
HD,96.37%,2025-09-02 00:00:00
HD,79.34%,2025-09-03 00:00:00
HD,73.49%,2025-09-04 00:00:00
HD,73.72%,2025-09-05 00:00:00
HD,100.00%,2025-09-06 00:00:00
RT,96.36%,2025-09-01 00:00:00
RT,98.05%,2025-09-02 00:00:00
RT,97.60%,2025-09-03 00:00:00
RT,97.26%,2025-09-04 00:00:00
RT,97.22%,2025-09-05 00:00:00
RT,99.13%,2025-09-06 00:00:00
SR,99.11%,2025-09-01 00:00:00
SR,98.82%,2025-09-02 00:00:00
SR,100.00%,2025-09-03 00:00:00
SR,90.51%,2025-09-04 00:00:00
SR,96.84%,2025-09-05 00:00:00
SR,97.79%,2025-09-06 00:00:00
