Fleet / Equipment;Planned;Actual;Schedule Compliance;Target;;Comment
FL;1;1;100%;95%;;
DT;0;0;;95%;;
FL BEV;2;2;100%;95%;;
DT BEV;2;0;0%;95%;;DT0163 could not service because of other DT's standing (Service on Friday).       DT0171 need to confirm hours, Stand long with breakdown
HD;4;3;75%;95%;;HD0062 NOT SERVICED(DMR Visit)
RT;4;3;75%;95%;;RT0051 DID NOT COME FOR SERVICE
SR;4;2;50%;95%;;SR0030- Still busy with the investigation , SR0024 - Waiting for the boom(SPARES)
UV Emulsion Units;0;0;;95%;;
Support Equip. Diesel Foreman;0;0;;95%;;
Support Equip Utility Foreman;5;3;60%;95%;;LD0556 & LD0457 were not brought in for service.
;;;;;;
