Fleet / Equipment;;;Planned;;Actual;;Schedule Compliance;;Target;;Comment
FL;;;1;;1;;100%;;95%;;
DT;;;3;;2;;67%;;95%;;Due to breakdown challenge will service DT0119 on Saturday
FL BEV;;;0;;0;;;;95%;;
DT BEV;;;2;;2;;100%;;95%;;
HD;;;5;;3;;60%;;95%;;HD0050 Could not be serviced (HD0054 Fire Incident)
RT;;;5;;3;;60%;;95%;;RT0058 Could not be serviced  (HD0054 Fire Incident)
SR;;;5;;4;;80%;;95%;;SR0030: Property damage, still waiting for spares
UV Emulsion Units;;;1;;1;;100%;;95%;;
Support Equip. Diesel Foreman;;;0;;0;;;;95%;;
Support Equip Utility Foreman;;;5;;4;;80%;;95%;;UV0078 -  Due to fire underground 
;;;;;;;;;;;
