Fleet Type,Availability_Both,Date
DT,63.10%,2025-08-25 00:00:00
DT,64.68%,2025-08-26 00:00:00
DT,72.77%,2025-08-27 00:00:00
DT,74.06%,2025-08-28 00:00:00
DT,69.23%,2025-08-29 00:00:00
DT,69.23%,2025-08-30 00:00:00
FL,98.08%,2025-08-25 00:00:00
FL,97.05%,2025-08-26 00:00:00
FL,90.52%,2025-08-27 00:00:00
FL,90.54%,2025-08-28 00:00:00
FL,81.82%,2025-08-29 00:00:00
FL,81.82%,2025-08-30 00:00:00
HD,77.78%,2025-08-25 00:00:00
HD,84.32%,2025-08-26 00:00:00
HD,87.50%,2025-08-27 00:00:00
HD,87.50%,2025-08-28 00:00:00
HD,87.50%,2025-08-29 00:00:00
HD,87.50%,2025-08-30 00:00:00
RT,84.42%,2025-08-25 00:00:00
RT,77.39%,2025-08-26 00:00:00
RT,70.73%,2025-08-27 00:00:00
RT,74.73%,2025-08-28 00:00:00
RT,70.00%,2025-08-29 00:00:00
RT,70.00%,2025-08-30 00:00:00
SR,67.61%,2025-08-25 00:00:00
SR,50.73%,2025-08-26 00:00:00
SR,57.93%,2025-08-27 00:00:00
SR,54.09%,2025-08-28 00:00:00
SR,37.50%,2025-08-29 00:00:00
SR,37.50%,2025-08-30 00:00:00
